City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Bengkulu,ID,2022-04-23 18:08:21,-3.8004,102.2655,76.08,92,100,9.1
97,Sitka,US,2022-04-23 18:07:39,57.0531,-135.33,49.89,57,100,14.97
98,Buin,CL,2022-04-23 18:08:22,-33.7333,-70.75,73.72,29,2,6.4
99,Karratha,AU,2022-04-23 18:08:22,-20.7377,116.8463,80.29,46,5,6.33
100,Kavieng,PG,2022-04-23 18:07:28,-2.5744,150.7967,82.04,75,61,12.77
101,Cabo San Lucas,MX,2022-04-23 18:03:53,22.8909,-109.9124,83.5,62,0,5.75
102,Domoni,KM,2022-04-23 18:08:23,-12.2569,44.5319,79.56,86,100,6.33
103,Waipawa,NZ,2022-04-23 18:08:24,-41.4122,175.5153,46.26,87,15,5.61
104,Itoman,JP,2022-04-23 18:08:24,26.1247,127.6694,77.4,96,75,8.05
105,Lavrentiya,RU,2022-04-23 18:08:25,65.5833,-171.0,16.75,86,17,4.7
106,Bluff,NZ,2022-04-23 18:05:54,-46.6,168.3333,51.8,78,100,20.83
107,Rexburg,US,2022-04-23 18:08:25,43.826,-111.7897,48.18,37,100,6.91
108,Dwarka,IN,2022-04-23 18:08:26,22.2394,68.9678,81.82,75,2,10.96
109,Kirakira,SB,2022-04-23 18:08:26,-10.4544,161.9205,79.36,80,85,3.33
110,Hambantota,LK,2022-04-23 18:08:27,6.1241,81.1185,80.82,80,98,4.61
111,Hermanus,ZA,2022-04-23 18:04:01,-34.4187,19.2345,58.8,64,43,9.01
112,Nantucket,US,2022-04-23 18:08:27,41.2835,-70.0995,55.54,59,0,9.22
113,Tasiilaq,GL,2022-04-23 18:08:28,65.6145,-37.6368,46.56,92,81,4.0
114,Lompoc,US,2022-04-23 18:07:10,34.6391,-120.4579,72.7,51,0,18.41
115,Prince Rupert,CA,2022-04-23 18:05:19,54.3161,-130.3201,42.89,93,100,10.36
116,Balkanabat,TM,2022-04-23 18:08:28,39.5108,54.3671,68.22,51,5,7.49
117,Berdigestyakh,RU,2022-04-23 18:08:29,62.0989,126.6992,16.59,98,100,3.62
118,Iqaluit,CA,2022-04-23 18:08:29,63.7506,-68.5145,9.7,72,11,3.0
119,Nautla,MX,2022-04-23 18:08:30,20.2167,-96.7833,85.01,61,4,16.53
120,Troitsko-Pechorsk,RU,2022-04-23 18:08:30,62.7084,56.1964,35.85,98,100,6.51
121,La Rioja,ES,2022-04-23 18:08:31,42.25,-2.5,42.58,92,100,14.27
